status_id,word,lemma,pos,ner
1439740696974409731,RT,rt,NN,O
1439740696974409731,@anitakissee,@anitakissee,NN,HANDLE
1439740696974409731,:,:,:,O
1439740696974409731,This,this,DT,O
1439740696974409731,is,be,VBZ,O
1439740696974409731,my,my,PRP$,O
1439740696974409731,favorite,favorite,JJ,O
1439740696974409731,#Covid19vaccine,#covid19vaccine,NN,O
1439740696974409731,video,video,NN,O
1439740696974409731,on,on,IN,O
1439740696974409731,TikTok,TikTok,NNP,O
1439740696974409731,right,right,RB,DATE
1439740696974409731,now,now,RB,DATE
1439740696974409731,.,.,.,O
1439740696974409731,https://t.co/g4VvHPIX1f,https://t.co/g4vvhpix1f,ADD,URL
1439740696974409731,https://t.co/AdzdVE2sBe,https://t.co/adzdve2sbe,ADD,URL
1439739935959912448,RT,rt,NN,O
1439739935959912448,@anitakissee,@anitakissee,NN,HANDLE
1439739935959912448,:,:,:,O
1439739935959912448,This,this,DT,O
1439739935959912448,is,be,VBZ,O
1439739935959912448,my,my,PRP$,O
1439739935959912448,favorite,favorite,JJ,O
1439739935959912448,#Covid19vaccine,#covid19vaccine,NN,O
1439739935959912448,video,video,NN,O
1439739935959912448,on,on,IN,O
1439739935959912448,TikTok,TikTok,NNP,O
1439739935959912448,right,right,RB,DATE
1439739935959912448,now,now,RB,DATE
1439739935959912448,.,.,.,O
1439739935959912448,https://t.co/g4VvHPIX1f,https://t.co/g4vvhpix1f,ADD,URL
1439739935959912448,https://t.co/AdzdVE2sBe,https://t.co/adzdve2sbe,ADD,URL
1439739587694268416,RT,rt,NN,O
1439739587694268416,@StanfordMed,@stanfordmed,VBD,O
1439739587694268416,:,:,:,O
1439739587694268416,Allergic,allergic,JJ,O
1439739587694268416,reactions,reaction,NNS,O
1439739587694268416,to,to,IN,O
1439739587694268416,the,the,DT,O
1439739587694268416,new,new,JJ,O
1439739587694268416,mRNA,mrna,NN,O
1439739587694268416,-,-,HYPH,O
1439739587694268416,based,base,VBN,O
1439739587694268416,COVID,COVID,NNP,O
1439739587694268416,-,-,HYPH,O
1439739587694268416,19,19,CD,O
1439739587694268416,vaccines,vaccine,NNS,O
1439739587694268416,are,be,VBP,O
1439739587694268416,rare,rare,JJ,O
1439739587694268416,",",",",",",O
1439739587694268416,and,and,CC,O
